id,en,ru,ja
loc_ColorBG,Background color:,Цвет фона:,背景色:
loc_MaxBottle,Max bottles:,Максимум банок:,最大本数:
loc_Statistics,Statistics:,Статистика:,統計:
loc_CustomImg,Custom image:,Своя картинка:,カスタム画像:
loc_Zoom,Zoom:,Масштаб:,拡大/縮小:
loc_Language,Language:,Язык:,言語:
loc_Apply,Apply,Применить,適用
loc_Reset,Reset,Сбросить,リセット
loc_Add,Add,Добавить,追加
loc_Settings,Settings,Настройки,設定
loc_FileNone,File: None,Файл: Нет,ファイル: なし
loc_File,File,Файл,ファイル
loc_CurrentBottles,Current bottles,Сейчас банок,現在の本数
loc_AllBottles,Total spawned,Всего заспавнено,総スポーン数
loc_,,,
loc_,,,
loc_,,,
loc_,,,
loc_,,,
loc_,,,
loc_,,,
loc_,,,
loc_,,,
loc_,,,
loc_,,,
